15,21.9255
16,21.4100
17,19.6450
18,17.2600
19,14.1800
20,12.4300
21,12.0025
22,13.4100
23,13.3625
0,14.1200
1,12.7500
2,12.1275
3,12.8750
4,14.1700
5,12.6950
6,16.8725
7,13.5550
8,14.5500
9,13.2175
10,16.0775
11,12.5450
12,12.8675
13,10.8275
14,9.4600
15,11.4200
16,10.4900
17,9.6050
18,8.7000
12,22.4300
13,22.7433
14,24.0925
15,20.8433
16,19.1533
17,19.4775
18,19.8450
19,19.8367
20,17.3167
21,18.3500
22,19.0400
23,15.3567
0,15.3233
1,12.1667
2,10.7600
3,10.9778
4,10.6433
5,10.5967
6,10.1900
7,10.8456
8,13.0667
9,13.8567
10,13.6333
11,14.5300
12,10.6600
13,11.8300
14,13.6000
15,15.1467
16,13.4550
17,12.5000
18,14.0525
19,15.2967
20,14.6600
21,14.5500
22,14.1050
23,9.0900
0,7.8233
1,6.3300
2,4.2933
3,3.6800
4,5.8275
5,5.5933
7,7.1200
8,7.2133
9,6.6233
10,3.8300
11,3.2700
12,3.0525
13,3.5933
14,4.7850
15,3.9725
16,4.7800
17,4.8900
18,7.6175
19,7.4175
20,8.0667
21,8.6800
22,8.5875
23,9.2725
0,11.2633
1,12.2325
2,13.8967
3,17.1175
4,18.8025
8,21.9275
9,20.5650
10,21.7675
11,22.9525
12,24.0225
13,22.2300
14,25.4525
15,29.5150
16,26.4950
17,15.8700
18,19.7825
19,17.8800
20,18.5325
21,18.7900
22,19.0850
23,17.4700
0,15.2867
1,13.7575
2,11.3825
3,6.9300
4,3.2675
5,3.6575
6,3.7325
7,2.7825
8,6.3000
9,5.0100
10,4.6325
11,7.4025
12,3.1775
13,3.3075
14,1.9625
15,7.1750
16,6.4050
17,3.2900
18,4.0875
19,2.0200
20,2.0150
21,2.3975
22,2.4100
23,5.0875
0,2.0350
1,1.7625
2,1.6350
3,2.8175
4,1.2450
5,0.8525
6,1.0400
7,1.0575
8,1.4175
10,1.9250
11,6.1425
12,2.8125
13,3.6425
14,5.4250
15,5.0300
16,5.0550
17,5.0925
18,6.5100
19,6.5150
20,8.3150
21,6.1350
22,7.8825
23,7.0075
0,8.4025
2,6.6750
3,6.2900
4,5.6725
5,5.2000
6,5.2025
7,4.6075
8,4.8625
9,6.4225
10,9.8425
11,8.4125
12,5.2275
13,4.3600
14,2.9050
15,3.0350
16,3.0275
17,2.9225
18,3.2400
19,2.0625
20,3.1600
21,2.5350
22,5.1750
23,4.7150
0,4.1775
1,3.2700
2,3.7575
3,1.0250
4,1.5550
5,1.5775
6,1.4625
7,2.0450
8,2.2500
9,5.2300
11,6.8600
12,3.3375
13,6.5225
14,4.1860
15,7.9200
16,5.0600
17,2.4900
18,4.2425
19,3.3225
20,2.5725
21,2.9350
22,3.1350
23,2.2550
0,1.8525
1,3.0725
2,2.0950
3,1.6260
4,1.7325
5,2.1025
6,2.4025
7,1.6725
8,4.1320
9,1.8550
10,3.0900
11,2.1200
12,2.3525
13,2.5675
14,2.8375
15,6.0900
16,7.1575
17,7.3750
18,6.3850
19,7.5550
20,8.6825
21,9.7975
22,11.7800
23,10.6575
0,10.4900
1,12.7000
2,15.3725
3,14.6175
4,12.0250
5,12.9825
6,10.6100
7,11.4575
8,8.0925
9,11.2725
10,9.9800
11,5.5075
13,7.0450
14,7.2275
15,6.0475
16,6.3825
17,6.6350
18,7.7825
19,9.0650
20,11.4100
21,10.1950
22,9.7825
23,8.1600
0,7.3000
1,7.5825
2,7.1775
3,7.8700
4,8.0000
5,7.8900
6,8.3000
7,8.7325
8,11.0875
9,17.1050
10,12.2375
11,17.0625
12,16.4125
13,17.8900
14,19.2450
15,19.8775
16,23.5125
17,30.0475
18,26.9200
19,26.7575
20,24.1525
21,23.9175
22,27.1925
23,27.8925
0,26.0150
1,24.3175
2,21.4350
3,19.0950
4,17.8750
5,15.9375
6,15.8450
7,17.5025
8,17.2350
9,17.9025
10,19.3550
11,18.5050
12,18.1850
13,18.8375
14,19.6875
15,20.6275
16,21.2550
17,20.0875
18,20.9200
19,22.5100
20,26.4450
21,28.3500
