15,6.5000
16,6.6000
17,6.9000
18,7.0000
19,7.4000
20,7.3000
21,7.5250
22,7.7000
23,7.7000
0,7.9250
1,7.9000
2,7.6000
3,7.6000
4,7.4250
5,7.5000
6,7.4000
7,7.5000
8,7.2000
9,7.6000
10,7.5000
11,6.6500
12,6.3000
13,5.9250
14,5.8000
15,5.9000
16,5.5250
17,5.6000
18,5.7000
12,0.5000
13,0.4333
14,0.4667
15,0.6000
16,0.7000
17,0.4750
18,0.5000
19,0.6000
20,0.5000
21,0.5000
22,0.6000
23,0.4333
0,0.4333
1,0.3000
2,0.2667
3,0.2000
4,0.3000
5,0.3000
6,0.3000
7,0.1333
8,0.0333
9,0.1000
10,0.2000
11,0.4667
12,0.5000
13,0.4333
14,0.5000
15,0.6000
16,0.6000
17,0.6000
18,0.6000
19,0.4667
20,0.5000
21,0.5667
22,0.4000
23,0.5000
0,0.5333
1,0.5000
2,0.5000
3,0.3000
4,0.1333
5,0.1000
7,-0.3000
8,-0.3000
9,-0.3000
10,-0.4000
11,-0.3667
12,-0.6000
13,-1.3000
14,-1.1500
15,-1.1000
16,-1.0500
17,-1.0000
18,-0.9000
19,-0.8000
20,-0.7000
21,-0.6000
22,-0.5000
23,-0.4000
0,-0.3000
1,-0.2000
2,-0.2000
3,-0.1000
4,-0.1250
8,0.1000
9,0.3000
10,0.6000
11,0.9000
12,1.2000
13,2.0000
14,2.1333
15,2.4750
16,2.8000
17,3.0000
18,3.1000
19,3.4000
20,3.6000
21,3.7000
22,3.9000
23,4.1000
0,4.2000
1,3.9000
2,3.7000
3,3.5000
4,3.3000
5,3.1000
6,3.1000
7,2.9000
8,2.7750
9,2.9000
10,2.5000
11,2.9000
12,3.1333
13,3.4000
14,1.5250
15,2.3000
16,2.5000
17,2.3000
18,1.6750
19,1.5000
20,1.2000
21,1.2000
22,1.0000
23,1.0000
0,1.0000
1,0.9000
2,0.9000
3,0.7000
4,0.5000
5,0.4500
6,0.2000
7,0.1750
8,-0.1000
10,-0.2750
11,-0.5750
12,-0.0250
13,0.1000
14,0.2000
15,-0.4000
16,-0.2500
17,-0.2000
18,-0.3000
19,-0.6000
20,-0.6000
21,-0.5000
22,-0.4000
23,-0.3500
0,-0.1000
2,0.3000
3,0.4000
4,0.5000
5,0.5000
6,0.8000
7,0.9000
8,1.3000
9,1.6000
10,1.9000
11,2.0750
12,1.4000
13,2.7500
14,3.4000
15,3.1000
16,2.9500
17,3.0750
18,2.8500
19,1.9000
20,1.5250
21,0.9500
22,0.8000
23,0.5500
0,0.5250
1,0.3750
2,0.3000
3,-0.3500
4,-0.2000
5,-0.1750
6,-0.2000
7,-0.3000
8,-0.2000
9,-0.1000
11,0.0750
12,0.3250
13,0.5500
14,0.6300
15,0.1500
16,-0.5500
17,-1.3250
18,-1.6500
19,-2.4000
20,-2.3000
21,-2.9000
22,-3.1000
23,-3.1750
0,-4.3000
1,-4.4000
2,-5.0556
3,-5.5700
4,-5.9000
